Last,First,Team,FGMade,FGMiss,PATMade,PATMiss,0-29,30-39,40-49,50+,0-29,30-39,40-49,50+,0-29,30-39,40-49,50+,0-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Medlock,Justin,Car/6,23,5,45,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,10.24,7.55,4.31,0.9,0.36,1.39,2.43,0.82,120,9999,29,6,MedlJu44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nugent,Mike,Cin/8,28,6,35,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,12.47,9.19,5.25,1.09,0.43,1.67,2.92,0.98,126,264,30,8,NugeMi44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Prater,Matt,Den/7,22,5,43,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,9.8,7.22,4.13,0.86,0.36,1.39,2.43,0.82,115,208,28,6,PratMa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rackers,Neil,Was/10,27,10,36,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,12.02,8.86,5.06,1.06,0.71,2.79,4.86,1.64,124,221,36,13,RackNe44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Scobee,Josh,Jac/6,22,5,30,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,9.8,7.22,4.13,0.86,0.36,1.39,2.43,0.82,102,9999,30,9,ScobJo44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Succop,Ryan,KC/7,23,5,34,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,10.24,7.55,4.31,0.9,0.36,1.39,2.43,0.82,109,9999,26,4,SuccRy44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suisham,Shaun,Pit/4,26,7,40,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,11.58,8.53,4.88,1.02,0.5,1.95,3.4,1.15,125,9999,31,8,SuisSh44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tynes,Lawrence,NYG/11,20,5,43,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,8.91,6.56,3.75,0.78,0.36,1.39,2.43,0.82,108,9999,34,9,TyneLa44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vinatieri,Adam,Ind/4,23,3,34,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,10.24,7.55,4.31,0.9,0.21,0.84,1.46,0.49,109,9999,40,17,VinaAd44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Walsh,Blair,Min/11,21,4,36,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,9.35,6.89,3.94,0.82,0.28,1.11,1.95,0.66,105,9999,22,1,WalsBl44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zuerlein,Greg,StL/9,25,6,28,0,0.4453,0.3281,0.1875,0.0391,0.071,0.278689,0.486339,0.163934,11.13,8.2,4.69,0.98,0.43,1.67,2.92,0.98,110,9999,24,1,ZuerGr44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
