Last,First,Team,rushAtt,rushYards,100 yd,rushTD,Rec,recYards,100 yd,recTD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Ridley,Stevan,NE/9,140,630,1,8,5,36,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,4.8,1.6,0.8,0.4,0.16,0.24,0,0,0,0,0,0,120,90,23,2,RidlSt00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ringer,Javon,Ten/11,75,300,0,2,15,100,0,0,1,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,1.04,0.3,0.2,0.2,0.16,0.1,0,0,0,0,0,0,67,250,25,4,RingJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Robinson,Michael,Sea/11,20,76,0,0,9,72,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,24,9999,29,7,RobiMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rodgers,Jacquizz,Atl/7,100,400,0,2,35,291,0,1,1,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,1.04,0.3,0.2,0.2,0.16,0.1,0.38,0.24,0.16,0.12,0.04,0.06,122,156,22,2,RodgJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Royster,Evan,Was/10,55,237,0,1,8,60,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,44,172,25,2,RoysEv00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saine,Brandon,GB/10,40,150,0,1,5,35,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,30,230,24,2,SainBr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Scott,Bernard,Cin/8,85,340,0,2,12,84,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,66,158,28,4,ScotBe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Smith,Kevin,Det/5,75,315,0,2,12,94,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,65,142,26,5,SmitKe02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Snelling,Jason,Atl/7,50,195,0,1,15,108,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,51,240,29,6,SnelJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spiller,C.J.,Buf/8,110,484,1,4,44,303,0,2,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.08,0.6,0.4,0.4,0.32,0.2,0.76,0.48,0.32,0.24,0.08,0.12,159,75,25,3,SpilC.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sproles,Darren,NO/6,90,504,1,3,81,689,1,5,1,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,1.56,0.45,0.3,0.3,0.24,0.15,1.9,1.2,0.8,0.6,0.2,0.3,248,31,29,8,SproDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Starks,James,GB/10,185,759,2,4,39,293,0,1,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,2.4,0.8,0.4,0.2,0.08,0.12,0.4,0.29,0.18,0.08,0.02,0.03,174,95,26,3,StarJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stephens-Howling,LaRod,Ari/10,30,117,0,0,15,117,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,38,9999,25,4,StepLa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stewart,Jonathan,Car/6,130,611,1,5,42,357,0,2,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3,1,0.5,0.25,0.1,0.15,0.8,0.58,0.36,0.16,0.04,0.06,181,71,25,5,StewJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tanner,Phillip,Dal/5,35,140,0,1,2,19,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,24,9999,24,2,TannPh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tate,Ben,Hou/8,115,552,1,4,15,119,0,0,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,2.4,0.8,0.4,0.2,0.08,0.12,0,0,0,0,0,0,106,89,24,3,TateBe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thomas,Daniel,Mia/7,155,605,1,4,14,91,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,2.4,0.8,0.4,0.2,0.08,0.12,0,0,0,0,0,0,108,108,25,2,ThomDa03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thomas,Pierre,NO/6,95,418,0,4,34,255,0,1,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,2.4,0.8,0.4,0.2,0.08,0.12,0.4,0.29,0.18,0.08,0.02,0.03,131,113,28,6,ThomPi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tolbert,Mike,Car/6,45,198,0,3,20,160,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.8,0.6,0.3,0.15,0.06,0.09,0.4,0.29,0.18,0.08,0.02,0.03,80,136,27,5,TolbMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turbin,Robert,Sea/11,30,120,0,0,5,38,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,21,246,23,1,TurbRo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turner,Michael,Atl/7,245,1029,3,10,13,98,0,0,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,6,2,1,0.5,0.2,0.3,0,0,0,0,0,0,186,35,30,9,TurnMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vereen,Shane,NE/9,100,420,0,5,8,58,0,0,1,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.6,0.75,0.5,0.5,0.4,0.25,0,0,0,0,0,0,86,145,23,2,VereSh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ware,Danny,NYG/11,50,200,0,1,16,104,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,52,9999,27,6,WareDa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,Leon,Sea/11,50,225,0,1,19,143,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,68,9999,30,7,WashLe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wells,Beanie,Ari/10,165,693,1,6,10,70,0,0,4,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3.6,1.2,0.6,0.3,0.12,0.18,0,0,0,0,0,0,122,52,24,4,WellCh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Williams,DeAngelo,Car/6,165,792,2,6,16,131,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3.6,1.2,0.6,0.3,0.12,0.18,0.4,0.29,0.18,0.08,0.02,0.03,150,77,29,7,WillDe02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Williams,Ryan,Ari/10,120,516,1,5,12,82,0,0,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.6,0.75,0.5,0.5,0.4,0.25,0,0,0,0,0,0,102,114,22,2,WillRy00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wilson,David,NYG/11,120,492,1,5,9,63,0,0,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3,1,0.5,0.25,0.1,0.15,0,0,0,0,0,0,95,106,21,1,WilsDa01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Woodhead,Danny,NE/9,75,323,0,2,21,172,0,1,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0.4,0.29,0.18,0.08,0.02,0.03,89,194,27,5,WoodDa02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
