Last,First,Team,rushAtt,rushYards,100 yd,rushTD,Rec,recYards,100 yd,recTD,fumbles,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,0-9,19-Oct,20-29,30-39,40-49,50+,Points,ADP,Age,Exp,ID,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
Charles,Jamaal,KC/7,215,1226,5,5,39,312,0,2,4,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.6,0.75,0.5,0.5,0.4,0.25,0.76,0.48,0.32,0.24,0.08,0.12,235,25,26,5,CharJa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Choice,Tashard,Buf/8,30,114,0,0,9,59,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,26,9999,28,5,ChoiTa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Clay,Charles,Mia/7,0,0,0,0,14,174,0,1,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0.4,0.29,0.18,0.08,0.02,0.03,37,9999,23,2,ClayCh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Conner,John,NYJ/9,15,53,0,1,4,28,0,0,0,0.78,0.1,0.07,0.03,0.01,0.01,0.44,0.3,0.2,0.04,0.01,0.01,0.78,0.1,0.07,0.03,0.01,0.01,0,0,0,0,0,0,18,9999,25,3,ConnJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dwyer,Jonathan,Pit/4,55,231,0,1,4,25,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,36,222,23,3,DwyeJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Forsett,Justin,Sea/11,35,151,0,0,10,80,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,33,9999,27,5,ForsJu00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Forte,Matt,Chi/6,215,968,3,4,49,441,0,2,3,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.08,0.6,0.4,0.4,0.32,0.2,0.76,0.48,0.32,0.24,0.08,0.12,226,15,27,5,FortMa00,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Foster,Arian,Hou/8,300,1410,6,12,63,567,0,3,5,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,6.24,1.8,1.2,1.2,0.96,0.6,1.14,0.72,0.48,0.36,0.12,0.18,351,1,26,4,FostAr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gerhart,Toby,Min/11,125,550,1,4,21,172,0,1,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,2.4,0.8,0.4,0.2,0.08,0.12,0.4,0.29,0.18,0.08,0.02,0.03,123,111,25,3,GerhTo00,1,1,1,1,1,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5
Goodson,Mike,Oak/5,65,260,0,2,10,80,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,56,157,25,4,GoodMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gore,Frank,SF/9,195,819,2,6,25,200,0,1,2,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3.6,1.2,0.6,0.3,0.12,0.18,0.4,0.29,0.18,0.08,0.02,0.03,169,39,29,8,GoreFr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Green,Alex,Pit/4,90,351,1,2,9,63,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0,0,0,0,0,0,62,9999,27,5,YounAl01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greene,Shonn,NYJ/9,235,975,3,6,24,173,0,1,3,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3.6,1.2,0.6,0.3,0.12,0.18,0.4,0.29,0.18,0.08,0.02,0.03,181,63,27,4,GreeSh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Green-Ellis,BenJarvus,Cin/8,280,1092,3,7,15,113,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,4.2,1.4,0.7,0.35,0.14,0.21,0,0,0,0,0,0,178,62,27,5,GreeBe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hardesty,Montario,Cle/10,60,234,0,1,12,94,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,51,207,25,3,HardMo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Helu,Roy,Was/10,195,839,2,7,37,289,0,1,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,3.64,1.05,0.7,0.7,0.56,0.35,0.38,0.24,0.16,0.12,0.04,0.06,198,54,24,2,HeluRo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hightower,Tim,Was/10,80,312,0,2,25,185,0,1,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0.4,0.29,0.18,0.08,0.02,0.03,93,184,26,5,HighTi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hilliard,Lex,Min/11,35,130,0,1,6,45,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,30,9999,28,5,HillLe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hillis,Peyton,KC/7,170,680,1,5,24,156,0,1,3,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,3,1,0.5,0.25,0.1,0.15,0.4,0.29,0.18,0.08,0.02,0.03,144,79,26,5,HillPe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hillman,Ronnie,Den/7,140,574,1,3,32,240,0,1,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,1.56,0.45,0.3,0.3,0.24,0.15,0.38,0.24,0.16,0.12,0.04,0.06,137,134,21,1,HillRo00,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1
Hunter,Kendall,SF/9,95,409,0,2,25,238,0,1,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.2,0.4,0.2,0.1,0.04,0.06,0.4,0.29,0.18,0.08,0.02,0.03,108,144,24,2,HuntKe01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ingram,Mark,NO/6,165,701,1,6,15,105,0,0,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,3.12,0.9,0.6,0.6,0.48,0.3,0,0,0,0,0,0,132,84,23,2,IngrMa01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ivory,Christopher,NO/6,35,154,0,1,1,7,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,23,9999,24,3,IvorCh00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jackson,Brandon,Cle/10,35,147,0,0,4,31,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,22,9999,27,6,JackBr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jackson,Fred,Buf/8,195,897,2,7,38,285,0,2,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,3.64,1.05,0.7,0.7,0.56,0.35,0.76,0.48,0.32,0.24,0.08,0.12,210,34,31,6,JackFr02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jackson,Steven,StL/9,250,1075,4,7,40,320,0,2,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,3.64,1.05,0.7,0.7,0.56,0.35,0.76,0.48,0.32,0.24,0.08,0.12,234,27,29,9,JackSt00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jacobs,Brandon,SF/9,65,254,0,3,5,35,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,1.8,0.6,0.3,0.15,0.06,0.09,0,0,0,0,0,0,52,166,30,8,JacoBr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
James,LaMichael,SF/9,25,100,0,0,5,38,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,19,203,23,1,JameLa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jennings,Rashad,Jac/6,115,506,1,3,20,160,0,1,1,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,1.56,0.45,0.3,0.3,0.24,0.15,0.38,0.24,0.16,0.12,0.04,0.06,111,202,27,4,JennRa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Johnson,Chris,Ten/11,260,1066,3,7,52,381,0,2,1,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,3.64,1.05,0.7,0.7,0.56,0.35,0.76,0.48,0.32,0.24,0.08,0.12,251,8,27,5,JohnCh04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jones,Felix,Dal/5,105,462,1,2,37,296,0,2,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,1.04,0.3,0.2,0.2,0.16,0.1,0.76,0.48,0.32,0.24,0.08,0.12,137,117,25,5,JoneFe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jones,Taiwan,Oak/5,45,198,0,1,4,36,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,33,195,24,2,JoneTa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jones-Drew,Maurice,Jac/6,285,1283,5,8,42,332,0,2,2,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,4.16,1.2,0.8,0.8,0.64,0.4,0.76,0.48,0.32,0.24,0.08,0.12,264,6,27,7,DrewMa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karim,Deji,Jac/6,40,152,0,1,10,70,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,38,9999,26,3,KariDe00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kuhn,John,GB/10,30,87,0,3,10,69,0,0,0,0.78,0.1,0.07,0.03,0.01,0.01,0.44,0.3,0.2,0.04,0.01,0.01,2.34,0.3,0.21,0.09,0.03,0.03,0,0,0,0,0,0,44,9999,30,7,KuhnJo00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leonard,Brian,Cin/8,20,84,0,0,20,160,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0,0,44,9999,28,6,LeonBr00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LeShoure,Mikel,Det/5,80,328,0,4,12,84,0,0,1,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,2.4,0.8,0.4,0.2,0.08,0.12,0,0,0,0,0,0,77,120,22,2,LeshMi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lewis,Dion,Phi/7,65,286,0,1,5,35,0,0,0,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,0.6,0.2,0.1,0.05,0.02,0.03,0,0,0,0,0,0,43,219,22,2,LewiDi00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lynch,Marshawn,Sea/11,255,1071,3,11,29,232,0,1,3,0.6,0.2,0.1,0.05,0.02,0.03,0.4,0.29,0.18,0.08,0.02,0.03,6.6,2.2,1.1,0.55,0.22,0.33,0.4,0.29,0.18,0.08,0.02,0.03,231,13,26,6,LyncMa00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Martin,Doug,TB/5,210,882,2,5,44,374,0,1,3,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,2.6,0.75,0.5,0.5,0.4,0.25,0.38,0.24,0.16,0.12,0.04,0.06,206,69,23,1,MartDo00,0.7,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mathews,Ryan,SD/7,260,1196,4,10,55,440,0,2,4,0.52,0.15,0.1,0.1,0.08,0.05,0.38,0.24,0.16,0.12,0.04,0.06,5.2,1.5,1,1,0.8,0.5,0.76,0.48,0.32,0.24,0.08,0.12,291,7,25,3,MathRy00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
