PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Nate Washington,TEN,0.3,4,0,30,449.5,2.7,0.3,61.1
Markus Wheaton,PIT,2.7,24,0,31.3,424,2.5,0.1,60
Leonard Hankerson,WAS,0.7,5.3,0,33.1,447.1,2.5,0.4,59.6
Jacoby Ford,OAK,2.3,45.7,0.3,30.6,421,1.9,0.5,58.8
Julian Edelman,NE,2.6,34.2,0.1,34.3,420.7,2.3,0.8,57.9
Jon Baldwin,KC,0,0,0,29.3,424.5,2.3,0.2,55.6
Domenik Hixon,CAR,0,0,0,30.1,404.4,2.4,0,54.6
Andrew Hawkins,CIN,3.1,15,0,36.9,422.7,1.8,0.1,54.4
Jason Avant,PHI,0,0,0,42,466,1.5,0.8,54
Earl Bennett,CHI,0,0,0,33.6,403,2.1,0.1,52.7
Joseph Morgan,NO,2.8,20.4,0.1,22.3,346.1,2.3,0.1,50.8
Harry Douglas,ATL,0.3,1.3,0,33.8,416.9,1.5,0,50.7
Laurent Robinson,FA,0,0,0,0,384,2,0,50.4
Doug Baldwin,SEA,0,0,0,27,349.7,2.6,0.1,50.4
T.J. Graham,BUF,1,9,0,30,393.7,1.6,0.3,49.3
Dwayne Harris,DAL,0,0,0,28.6,381.3,1.8,0.1,48.8
Braylon Edwards,NYJ,0,0,0,27.4,355.3,2.2,0.1,48.6
Justin Hunter,TEN,0,0,0,23.9,374.5,2,0.8,47.6
Jerricho Cotchery,PIT,0,0,0,32,390.5,1.4,0.1,47.6
Steve Smith,FA,0,0,0,26.2,340.4,2.2,0,47.4
Juron Criner,OAK,0,0,0,27.4,367.5,1.8,0,47.2
Eddie Royal,SD,0,10.5,0,30.6,352.6,2,0.8,46.8
Damaris Johnson,PHI,0,0,0,25.4,355.1,2,0.8,46.1
Percy Harvin,SEA,5.1,37.7,0.1,25.1,307,2,0.6,45.3
Randy Moss,FA,0,0,0,0,323,2,0,44.3
Mario Manningham,SF,0,0,0,21.4,319.3,1.9,0.3,43
Terrance Williams,DAL,0,0,0,23.7,345.5,1.4,0,42.8
Michael Crabtree,SF,0,0,0,19.2,264.1,2.4,0,40.9
Travis Benjamin,CLE,1.9,10.3,0,17.8,308.1,1.6,0.7,40.2
Austin Pettis,STL,0,0,0,23.7,302.2,1.7,0.3,39.9
Kevin Ogletree,TB,0.7,4.3,0,23,308.7,1.4,0.1,39.8
Tiquan Underwood,TB,0,0,0,20.7,289.6,1.6,0,38.8
Jordan Shipley,JAC,0,0,0,29.8,308.8,1.3,0,38.6
Jerome Simpson,MIN,0,0,0,22.4,314.9,1.3,0.6,38.3
Russell Shepard,PHI,0,0,0,23.9,300.5,1.3,0.2,37.5
Kenbrell Thompkins,NE,0,0,0,16.7,248.5,1.9,0,36.5
Louis Murphy,NYG,0.3,2,0,21,303.9,0.8,0,35.5
Marvin Jones,CIN,1,4.7,0,17.9,255.2,1.6,0,35.4
Tandon Doss,BAL,0,0,0,22.9,277.7,1.2,0.1,34.6
David Nelson,CLE,0,0,0,26.5,291.4,0.9,0,34.4
Ace Sanders,JAC,0,0,0,19.2,264.7,1.2,0.3,33.2
Tommy Streeter,BAL,0,0,0,17.8,263.5,1.1,0,33
Nick Toon,NO,0,0,0,16.8,220.3,1.7,0,32.3
Stedman Bailey,STL,0,0,0,17.6,244.2,1.3,0.2,31.6
Keshawn Martin,HOU,3.5,23.3,0.1,20.9,246.5,0.8,0.3,31.3
Michael Jenkins,NE,0,0,0,18.8,244.1,1.2,0.3,31
Da'Rick Rogers,BUF,0.5,7,0,14.5,213.5,1.5,0,30.9
Kevin Walter,TEN,0,0,0,17.1,242.5,1.1,0,30.8
Marquise Goodwin,BUF,0,0,0,14.4,241.8,1.2,0.5,30.6
Josh Boyce,NE,0,0,0,16.6,252.7,0.8,0.1,29.7
Plaxico Burress,PIT,0,0,0,14,190.7,1.7,0,29.1
Damian Williams,TEN,0,0,0,19.3,236.7,0.9,0,29.1
Quinton Patton,SF,0,0,0,15.3,246.8,0.7,0,28.8
Mohamed Massaquoi,JAC,0,0,0,18.4,252.8,0.7,0.4,28.8
Deion Branch,FA,0,0,0,0,286,0,0,28.6
LaVon Brazill,IND,0,0,0,16.8,254.4,0.7,0.5,28.4
Charles Johnson,GB,0,0,0,0,223,1,0,28.3
Deonte Thompson,BAL,0,0,0,14.2,197.2,1.1,0.2,26.3
Mike Thomas,DET,0,0,0,14.9,198.2,1.2,0.5,26
Rishard Matthews,MIA,0,0,0,13.8,209.5,0.8,0,25.6
Ramses Barden,NYG,0,0,0,4.4,203.9,0.7,0,24.5
Lestar Jean,HOU,0,0,0,12.8,193.8,0.8,0,24.1
Kenny Stills,NO,0,0,0,11.2,182.6,1,0.3,24
Donald Jones,FA,0,0,0,14.7,197.4,0.7,0,23.6
Clyde Gates,NYJ,0,0,0,13.4,179.7,0.9,0.3,22.8
Robert Meachem,SD,0.7,3.7,0,10.1,166.4,0.8,0,21.9
Kyle Williams,SF,0,0,0,9.2,169.1,0.7,0,21
Derek Hagan,TB,0,0,0,5.8,162.8,0.8,0,20.8
Steve Breaston,NO,0,0,0,13,158,0.6,0,19.6
Courtney Roby,NO,0,0,0,0,135.5,1,0,19.6
Cole Beasley,DAL,0,0,0,14.3,153.4,0.7,0,19.4
Marcus Easley,BUF,0,0,0,9.3,138.2,0.9,0,19.2
Aldrick Robinson,WAS,0,0,0,6.6,135.1,0.9,0,19
Justin Brown,PIT,0,0,0,4.5,147.7,0.7,0,18.9
DeVier Posey,HOU,0,0,0,10.3,153.8,0.6,0,18.8
Ted Ginn Jr.,CAR,0,0,0,11.1,174,0.2,0.2,18.3
Ricardo Lockette,SF,0,0,0,9.8,123.1,0.9,0,17.7
Josh Cribbs,OAK,0,0,0,11.3,146.9,0.5,0.3,17.4
Tavarres King,DEN,0,0,0,7.3,152.5,0.4,0,17.4
Anthony Armstrong,DAL,0,0,0,7.3,128.9,0.7,0,16.9
Corey Fuller,DET,0,0,0,11,143.8,0.4,0,16.9
Brad Smith,BUF,0,47.5,0,8.4,89.8,0.5,0,16.9
Andre Caldwell,DEN,0,0,0,10.5,143.1,0.4,0,16.6
Marquess Wilson,CHI,0,0,0,5.3,162.1,0.2,0.5,16.3
Devin Hester,CHI,1.8,10,0,4.6,121,0.6,0.3,16.1
Drew Davis,ATL,0,0,0,7.4,103.8,0.9,0,16
Ryan Swope,FA,0,0,0,9.1,156.2,0,0,15.6
Dane Sanzenbacher,CIN,0,0,0,8.3,91.7,1,0,15.2
Jerrel Jernigan,NYG,0,0,0,6.7,93.8,0.9,0,14.8
Ben Obomanu,NYJ,0,0,0,2.6,141.1,0.1,0,14.6
Stephen Williams,SEA,0,0,0,8.4,116.4,0.4,0,14.2
Jarrett Boykin,GB,0,0,0,7.5,104.8,0.6,0,13.8
David Gettis,CAR,0,0,0,6.3,93.3,0.7,0,13.4
Brice Butler,OAK,0,0,0,4.5,122.7,0.2,0,13.3
Matt Slater,NE,0,0,0,0,102.5,0.5,0,13.3
Kerry Taylor,ARI,0,0,0,7.6,104.3,0.4,0.1,12.9
Dezmon Briscoe,WAS,0,0,0,6.2,74.2,0.9,0,12.8
Brian Robiskie,FA,0,0,0,8,84,0.7,0,12.3
Patrick Edwards,DET,0,0,0,6.7,92,0.5,0.1,12.1
Arrelious Benn,PHI,0,0,0,6.7,94.7,0.4,0,12.1
Jeff Fuller,MIA,0,0,0,7.6,88.9,0.4,0,11.5
Chaz Schilens,DET,0,0,0,0,113.5,0,0,11.4
Early Doucet,SEA,0,0,0,5.7,78.2,0.6,0.1,11.3
Lavelle Hawkins,SF,0,0,0,8.4,112.5,0,0,11.3
Kevin Dorsey,GB,0,0,0,0,110.5,0,0,11.1
Trindon Holliday,DEN,0,0,0,4.7,69.3,0.7,0,11
Kris Durham,DET,0,0,0,5.8,84.4,0.4,0,10.8
Brandon Tate,CIN,0,0,0,4.6,98.8,0.3,0.5,10.6
Chris Harper,SEA,0,0,0,5,96.8,0.1,0,10.3
Devin Aromashodu,CHI,0,0,0,0,102,0,0,10.2
Devon Wylie,KC,0,0,0,6.7,95.9,0.1,0,9.9
Niles Paul,WAS,0,0,0,0,94,0,0,9.4
Chastin West,DET,0,0,0,4,54.7,0.7,0,9.4
Deon Butler,SD,0,0,0,0,93.5,0,0,9.4
Alan Bonner,HOU,0,0,0,4.5,82.9,0.2,0,9.2
Eric Weems,CHI,0,0,0,2.7,91.4,0,0,9.1
David Reed,BAL,0,0,0,2.7,92.1,0,0.1,9.1
Kevin Cone,ATL,0,0,0,4.6,63.6,0.4,0.1,8.8
Saalim Hakim,NO,0,0,0,3.6,60.9,0.4,0,8.7
Tobais Palmer,JAC,0,0,0,5,67.3,0.3,0.1,8.1
