PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Zack Pianalto,TB,2.4,26.6,0,0,2.7
Anthony McCoy,SEA,2.1,24.8,0,0,2.6
Jake O'Connell,KC,1.2,14.3,0,0,1.5
Nate Byham,FA,1.9,12.4,0,0,1.2
Josh Baker,NYJ,1,9.3,0,0,0.9
Dominique Byrd,FA,0,0,0,0,0
Andre Smith,IND,0,0,0,0,0
Kyle Adams,CHI,0,0,0,0,0
Will Yeatman,MIA,0,0,0,0,0
Anthony Becht,FA,0,0,0,0,0
Michael Higgins,NO,0,0,0,0,0
Chris Baker,FA,0,0,0,0,0
Dorin Dickerson,BUF,0,0,0,0,0
Kevin Brock,BUF,0,0,0,0,0
Colin Cloherty,JAC,0,0,0,0,0
Billy Bajema,BAL,0,0,0,0,0
Hayden Smith,NYJ,0,0,0,0,0
