PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Christine Michael,SEA,59.7,285.3,1.7,10.6,82.9,0.1,0.1,46.9
Isaac Redman,PIT,60.7,259.3,1.4,16.2,123.7,0.2,1,45.6
Roy Helu,WAS,47.4,215.3,0.8,21.8,161.2,0.5,0.6,44.6
Lance Dunbar,DAL,58.3,247.7,1.3,14.1,95.3,0.5,0.8,43.5
Jonathan Dwyer,PIT,74.5,319,1.2,6.4,51.3,0,0.5,43.3
Justin Forsett,JAC,66,290.6,0.8,12.6,87.2,0.2,0.2,43
Ronnie Brown,SD,52.6,217.5,0.6,19.1,161,0.1,0.5,41
Donald Brown,IND,55.8,238.9,0.8,10.3,83.2,0.2,0.2,38
DuJuan Harris,GB,53.1,240,1.1,8.6,71.9,0.2,0.7,37.6
Montario Hardesty,CLE,63.1,251.1,1.2,7.2,52.3,0,0.2,37
Evan Royster,WAS,48.4,197,0.9,11.7,87.8,0.4,0,36.7
Stepfan Taylor,ARI,63.5,247.3,1.3,8.2,52.3,0,0.6,36.7
John Kuhn,GB,28.1,83.6,1.5,16.5,101.5,1.1,0.3,33.7
Dion Lewis,CLE,42,187.5,0.5,12.6,108.4,0.2,0.1,33.4
Jason Snelling,ATL,24,118.7,0.6,18.9,138.7,0.8,0.4,33
Shaun Draughn,KC,44.2,197.1,0.7,11.2,80.8,0,0.7,31.1
Mike James,TB,46.3,194.2,0.9,6.1,46.2,0.2,0.4,30.2
LeGarrette Blount,NE,40.7,175.2,1.9,1.7,11.8,0,0.6,29
Andre Ellington,ARI,32.3,158,0.3,10.6,84.7,0.4,0,28.2
Peyton Hillis,TB,30.4,155.3,1.4,5.8,46.1,0.1,0.3,28.1
Phillip Tanner,DAL,45.9,182.3,0.7,5.3,46.2,0.1,0.1,27.2
Brian Leonard,TB,32,129.4,0.4,18,110.1,0,0,26.3
Charles Clay,MIA,1,4,0,22,196,1,0,26
Delone Carter,IND,35.6,140.4,1.8,1.9,10.8,0,0.1,25.6
Jorvorski Lane,MIA,19,61.7,1.7,8.3,58,0.7,0.7,24.7
Felix Jones,PHI,28.7,153.5,0.3,5.8,62.3,0.2,0,24.3
William Powell,FA,27.6,118.2,0,15.6,120.4,0,0,23.9
Leon Washington,NE,23.4,110.8,0.7,12,88.2,0.1,0.3,23.8
Joe McKnight,NYJ,29,142.9,0.4,8.8,82,0,0.7,23.8
Kenjon Barner,CAR,33.9,165.6,0.6,4.2,34,0,0.3,23.1
Chris Ogbonnaya,CLE,29,127.3,0.1,10.1,91.7,0.3,0.6,22.8
Armando Allen,CHI,34.5,143.9,0.4,6.8,58.6,0,0,22.8
Brandon Bolden,NE,32.4,146.5,1,2.1,19.7,0,0,22.6
Vonta Leach,BAL,8.5,25.6,1,15.7,117.1,0.2,0,21.5
Alex Green,GB,31.7,133.9,0.3,5.5,36.7,0.3,0,20.5
Jamie Harper,FA,14.7,84,1.2,2,24.4,0.3,0.3,19.6
Chris Polk,PHI,30.3,130.4,0.6,3,21.3,0,0.1,18.8
Cedric Peerman,CIN,24.3,114.8,0.3,4.5,35.1,0.3,0.1,18.7
Will Johnson,PIT,4.9,18.2,0.4,10.2,88,0.9,0,18.6
Bernard Scott,CIN,24.4,110.2,0.3,8.6,59.3,0.3,0.8,18.4
James Starks,GB,23.8,132.5,0.2,2.6,17.4,0.2,0,17.6
Taiwan Jones,OAK,0,155,0,0,17,0,0,17.2
Anthony Dixon,SF,20.7,78.6,1.4,1.5,9.3,0,0,17.1
Lance Ball,DEN,23.1,94.8,0.6,3.9,31.5,0.3,0.4,16.7
Michael Robinson,SEA,10.5,36.9,0.3,10.1,73.9,0.5,0,15.9
Jacob Hester,DEN,18.7,63.8,0.3,8.4,55.6,0.3,0,15.8
Montell Owens,DET,17.3,89.4,0.3,7.1,34.3,0.3,0.3,15.6
Tashard Choice,BUF,30.6,116.3,0.3,4.1,28.6,0,0.6,15.2
Keiland Williams,WAS,14.2,59.1,0.4,4.9,43.6,0.4,0.4,14.6
Jed Collins,NO,2,4.7,0.5,9,44.3,1.1,0,14.5
Orson Charles,CIN,1.3,4,0,9.3,112.4,0.4,0,14.2
Da'Rel Scott,NYG,21.3,89.9,0.3,3.6,27.9,0,0.1,13.9
Danny Ware,FA,10,50.7,0,9.4,88,0,0,13.9
Darrel Young,WAS,12.9,54.7,0.4,4.9,44,0,0,12.5
Le'Ron McClain,SD,17.6,48,0.5,7.6,48.9,0,0,12.4
Dennis Johnson,HOU,18.9,74.2,0.3,1.8,14.4,0.1,0.1,11
Rex Burkhead,CIN,16.7,64.7,0.7,1,5.5,0,0.1,10.9
Ryan Torain,NYG,15.7,66.7,0.3,3.7,22.3,0,0,10.9
Baron Batch,PIT,13.8,66.2,0.4,2.2,13.8,0,0,10.6
Anthony Allen,BAL,15.2,61.7,0.3,2,16,0,0.1,9.8
Travaris Cadet,NO,10.2,40.2,0.2,4.6,38.4,0.1,0.1,9.6
Cierre Wood,HOU,17.3,69.3,0.3,1,8.5,0,0.2,9.3
Henry Hynoski,NYG,5,17.9,0.3,7.7,40.4,0.3,0,8.9
Evan Rodriguez,MIA,4.7,19.7,0,7,68.3,0,0,8.8
Ryan D'Imperio,FA,5.3,20.9,0,7.1,64.9,0,0,8.6
Terrance Ganaway,STL,11.6,50.9,0.3,2.1,14.5,0,0,8.5
Jeremy Stewart,OAK,12.2,51.4,0.1,3.7,28,0,0.1,8.3
Edwin Baker,SD,15.9,62.3,0.4,0,0,0,0.2,8.3
Stanley Havili,IND,4,12.3,0.4,6.7,43.7,0,0,8.2
Cyrus Gray,KC,9.5,48.5,0.3,1.3,11.7,0,0,7.9
Jerome Felton,MIN,7,19.5,0.3,5.7,41.5,0,0,7.7
Dorin Dickerson,BUF,1.3,6.2,0,7.1,70.2,0,0,7.6
