RNK,"PLAYER, TEAM POS",    C/A,  YDS,   TD,  INT, RUSH,  YDS,   TD,  REC,  YDS,   TD,PTS
75,"Isaac Redman, Pit RB",0/0,0,0,0,194,834,5,15,101,1,123
76,"Michael Bush, Chi RB",0/0,0,0,0,164,690,7,21,200,0,129
77,"Pierre Garcon, Wsh WR",0/0,0,0,0,3,8,0,66,890,6,123
78,"Mark Ingram, NO RB  P",0/0,0,0,0,183,765,7,8,41,0,120
79,"Ben Roethlisberger, Pit QB  P",305/481,3876,25,14,36,100,1,0,0,0,235
80,"Torrey Smith, Bal WR  P",0/0,0,0,0,4,31,0,55,969,4,123
81,"C.J. Spiller, Buf RB",0/0,0,0,0,123,645,4,41,372,1,127
82,"Denarius Moore, Oak WR  P",0/0,0,0,0,4,27,0,50,856,6,123
83,"Doug Martin, TB RB",0/0,0,0,0,196,841,4,37,376,0,141
84,"Malcom Floyd, SD WR",0/0,0,0,0,0,0,0,49,890,5,119
85,"Santonio Holmes, NYJ WR  Q",0/0,0,0,0,3,25,0,56,753,7,117
86,"Matt Schaub, Hou QB",258/408,3319,22,8,18,19,2,0,0,0,215
87,"Jermichael Finley, GB TE  Q",0/0,0,0,0,0,0,0,59,833,6,119
88,"Peyton Hillis, KC RB",0/0,0,0,0,198,789,6,27,179,0,127
89,"Lance Moore, NO WR",0/0,0,0,0,0,0,0,63,747,7,116
90,"Toby Gerhart, Min RB",0/0,0,0,0,135,656,4,24,190,2,118
91,"Anquan Boldin, Bal WR",0/0,0,0,0,0,0,0,60,841,5,114
92,"Aaron Hernandez, NE TE  P",0/0,0,0,0,0,0,0,67,793,7,121
93,"Michael Crabtree, SF WR",0/0,0,0,0,0,0,0,59,786,5,108
94,"Donald Brown, Ind RB",0/0,0,0,0,212,874,4,14,134,0,124
95,"Kenny Britt*, Ten WR  O",0/0,0,0,0,0,0,0,48,850,5,113
96,"David Wilson, NYG RB",0/0,0,0,0,149,725,4,15,147,1,110
97,"Nate Washington, Ten WR",0/0,0,0,0,2,5,0,58,802,5,110
98,"Jay Cutler, Chi QB",255/436,3209,20,11,26,116,1,0,0,0,197
99,"Robert Griffin III, Wsh QB",267/463,3132,18,18,97,436,6,0,0,0,230
100,"Shane Vereen, NE RB",0/0,0,0,0,120,518,3,35,230,1,96
101,"Cedric Benson, GB RB",0/0,0,0,0,182,673,4,5,42,0,91
102,"Felix Jones, Dal RB",0/0,0,0,0,138,658,1,31,286,1,101
103,"Sidney Rice, Sea WR  Q",0/0,0,0,0,0,0,0,48,702,5,100
104,"Josh Freeman, TB QB",298/499,3338,20,14,57,292,2,0,0,0,218
105,"Tony Gonzalez, Atl TE",0/0,0,0,0,0,0,0,78,819,6,117
106,"Reggie Wayne, Ind WR",0/0,0,0,0,0,0,0,62,711,5,101
107,"Alex Smith, SF QB",297/496,3415,16,8,32,102,3,0,0,0,206
108,"Fred Davis, Wsh TE",0/0,0,0,0,0,0,0,61,807,5,110
109,49ers D/ST D/ST,0/0,0,0,0,0,0,0,0,0,0,151
110,"Andy Dalton, Cin QB",290/490,3427,22,15,29,131,0,0,0,0,202
111,"Daniel Thomas, Mia RB",0/0,0,0,0,179,728,4,11,79,0,101
